@relation 'parts'
@attribute w numeric
@attribute d numeric
@attribute c numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
67,?,?,5
67,1,?,5
67,1,856,5
67,1,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
?,?,?,5
67,?,?,5
67,1,?,5
42,?,?,9
42,3,?,9
42,3,76,9
42,3,?,9
42,3,?,9
?,?,?,9
42,?,?,9
42,3,?,9
?,?,?,9
42,?,?,9
42,3,?,9
?,?,?,9
42,?,?,9
42,3,?,9
?,?,?,9
42,?,?,9
42,3,?,9
?,?,?,9
42,?,?,9
42,3,?,9
22,?,?,7
22,9,?,7
62,9,611,7
62,9,?,7
52,?,?,5
52,1,?,5
52,1,1322,5
52,1,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
?,?,?,5
52,?,?,5
52,1,?,5
92,?,?,3
92,0,?,3
92,0,62,3
92,0,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
?,?,?,3
92,?,?,3
92,0,?,3
61,?,?,1
61,7,?,1
61,7,2111,1
61,7,?,1
10,?,?,9
10,9,?,9
10,9,2683,9
10,9,?,9
10,9,?,9
?,?,?,9
10,?,?,9
10,9,?,9
?,?,?,9
10,?,?,9
10,9,?,9
?,?,?,9
10,?,?,9
10,9,?,9
?,?,?,9
10,?,?,9
10,9,?,9
21,?,?,8
21,0,?,8
21,0,2449,8
21,0,?,8
21,0,?,8
?,?,?,8
21,?,?,8
21,0,?,8
?,?,?,8
21,?,?,8
21,0,?,8
?,?,?,8
21,?,?,8
21,0,?,8
?,?,?,8
21,?,?,8
21,0,?,8
?,?,?,8
21,?,?,8
21,0,?,8
?,?,?,8
21,?,?,8
21,0,?,8
?,?,?,8
21,?,?,8
21,0,?,8
47,?,?,6
47,1,?,6
47,1,867,6
47,1,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
?,?,?,6
47,?,?,6
47,1,?,6
84,?,?,6
84,4,?,6
84,4,1907,6
84,4,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
?,?,?,6
84,?,?,6
84,4,?,6
68,?,?,7
68,4,?,7
68,4,1043,7
68,4,?,7
87,?,?,7
87,5,?,7
87,5,1145,7
87,5,?,7
22,1,?,7
22,1,2288,7
22,1,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
?,?,?,7
22,?,?,7
22,1,?,7
33,?,?,6
33,1,?,6
33,1,168,6
33,1,?,6
33,1,?,6
?,?,?,6
33,?,?,6
33,1,?,6
?,?,?,6
33,?,?,6
33,1,?,6
?,?,?,6
33,?,?,6
33,1,?,6
?,?,?,6
33,?,?,6
33,1,?,6
?,?,?,6
33,?,?,6
33,1,?,6
?,?,?,6
33,?,?,6
33,1,?,6
8,?,?,4
8,2,?,4
80,2,2882,4
80,2,?,4
84,5,?,6
84,5,2094,6
84,5,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
?,?,?,6
84,?,?,6
84,5,?,6
11,?,?,3
11,9,?,3
11,9,2057,3
11,9,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
?,?,?,3
11,?,?,3
11,9,?,3
88,?,?,7
88,9,?,7
88,9,1480,7
88,9,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
?,?,?,7
88,?,?,7
88,9,?,7
60,?,?,4
60,4,?,4
60,4,950,4
60,4,?,4
68,3,?,7
53,3,2080,7
53,3,?,7
98,?,?,4
98,9,?,4
98,9,152,4
98,9,?,4
2,3,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,1
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,1
2,3,?,0
2,?,?,1
2,3,?,1
2,?,?,0
2,3,?,0
2,?,?,0
2,3,?,1
2,?,?,1
