@relation 'parts'
@attribute w numeric
@attribute d numeric
@attribute c numeric
@attribute class {0,1,2,3,4}
@data
6,?,?,2
6,3,?,2
6,3,1296,2
6,3,?,2
6,3,?,2
6,?,?,2
6,3,?,2
6,?,?,2
6,3,?,2
6,?,?,2
6,3,?,2
6,?,?,2
6,3,?,2
8,?,?,4
8,7,?,4
8,7,2395,4
8,7,?,4
5,?,?,3
5,9,?,3
5,9,1449,3
5,9,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
5,?,?,3
5,9,?,3
3,?,?,0
3,0,?,0
3,0,827,0
3,0,?,0
2,2,1426,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
2,2,?,0
0,?,?,0
0,9,?,0
0,9,1768,0
0,9,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,3,?,0
0,3,1060,0
0,3,?,0
1,?,?,1
1,9,?,1
1,9,1972,1
1,9,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
1,?,?,1
1,9,?,1
2,?,?,1
2,0,2434,1
2,0,?,1
2,0,?,1
2,0,?,1
2,0,?,1
2,0,?,1
2,0,?,1
2,0,?,1
2,0,?,1
2,0,?,1
2,0,?,1
2,1,2265,1
2,1,?,1
2,1,?,1
2,1,?,1
2,1,?,1
2,1,?,1
2,1,?,1
2,1,?,1
2,1,?,1
2,1,?,1
2,2,420,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,2,?,1
2,3,1962,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,3,?,1
2,4,2068,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,4,?,1
2,5,2200,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,5,?,1
2,6,940,1
2,6,?,1
2,6,?,1
2,6,?,1
2,6,?,1
2,6,?,1
2,6,?,1
2,6,?,1
2,6,?,1
2,7,261,1
2,7,?,1
2,7,?,1
2,7,?,1
2,7,?,1
2,7,?,1
2,7,?,1
2,7,?,1
2,7,?,1
2,7,?,1
2,8,49,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,8,?,1
2,9,2323,1
2,9,?,1
2,9,?,1
2,9,?,1
2,9,?,1
2,9,?,1
2,9,?,1
2,9,?,1
2,9,?,1
2,9,?,1
0,2,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
