@relation 'parts'
@attribute w numeric
@attribute d numeric
@attribute c numeric
@attribute class {0,1,2,3,4}
@data
0,?,?,1
0,1,?,0
0,1,2413,1
0,1,?,1
0,0,?,0
0,0,1691,1
0,0,?,1
0,0,2607,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,0,?,1
0,1,2031,1
0,1,?,1
0,1,?,1
0,1,?,1
0,1,?,1
0,1,?,1
0,1,?,1
0,1,?,1
0,1,?,1
0,1,?,1
0,2,2541,1
0,2,?,1
0,2,?,1
0,2,?,1
0,2,?,1
0,2,?,1
0,2,?,1
0,2,?,1
0,2,?,1
0,2,?,1
0,2,?,1
0,3,641,1
0,3,?,1
0,3,?,1
0,3,?,1
0,3,?,1
0,3,?,1
0,3,?,1
0,3,?,1
0,3,?,1
0,4,239,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,4,?,1
0,5,207,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,6,698,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,6,?,1
0,7,1719,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,7,?,1
0,8,1655,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,8,?,1
0,9,2017,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,1
0,9,?,0
0,9,240,0
0,9,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,?,?,0
0,9,?,0
0,6,?,3
0,6,138,1
0,6,?,1
0,9,1062,0
0,9,?,0
0,7,?,4
0,7,36,2
0,7,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,3
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,?,?,2
0,7,?,2
0,5,?,4
0,5,608,0
0,5,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,?,?,0
0,5,?,0
0,6,2031,4
0,6,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,?,?,4
0,6,?,4
0,3,?,2
0,3,415,2
0,3,?,2
0,8,?,3
0,8,1316,3
0,8,?,3
0,7,1903,1
0,7,?,1
0,7,?,1
0,?,?,1
0,7,?,1
0,?,?,0
0,7,?,1
0,?,?,1
0,7,?,1
0,?,?,1
0,7,?,1
0,0,1385,3
0,0,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,3
0,0,?,3
0,?,?,0
0,0,?,3
0,?,?,3
0,0,?,3
0,9,2278,1
0,9,?,1
0,2,?,3
0,2,1148,3
0,2,?,3
0,4,?,2
0,4,1798,4
0,4,?,4
0,4,?,4
0,?,?,3
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,?,?,4
0,4,?,4
0,5,1653,2
0,5,?,2
0,5,?,2
0,?,?,2
0,5,?,2
0,?,?,2
0,5,?,2
0,?,?,2
0,5,?,2
0,?,?,2
0,5,?,2
0,4,1739,1
0,4,?,1
0,8,2783,1
0,8,?,1
0,6,167,3
0,6,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,0
0,6,?,3
0,5,1168,4
0,5,?,4
0,3,40,0
0,3,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,?,?,0
0,3,?,0
0,5,2609,1
0,5,?,1
0,9,1983,1
0,9,?,1
0,0,1885,1
0,0,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,?,?,1
0,0,?,1
0,1,2051,1
0,1,?,1
0,8,890,1
0,8,?,1
0,5,1504,1
0,5,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,?,?,1
0,5,?,1
0,2,840,1
0,2,?,1
0,5,1897,4
0,5,?,4
0,6,2967,3
0,6,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,?,?,3
0,6,?,3
0,2,2133,0
0,2,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,?,?,0
0,2,?,0
0,9,947,4
0,9,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,?,?,4
0,9,?,4
0,3,2435,2
0,3,?,2
0,8,2362,0
0,8,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,?,?,0
0,8,?,0
0,3,2937,2
0,3,?,2
0,4,687,2
0,4,?,2
0,0,1723,1
0,0,?,1
0,1,1266,0
0,1,?,0
0,2,1494,4
0,2,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,?,?,4
0,2,?,4
0,4,1583,3
0,4,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,?,?,3
0,4,?,3
0,4,1425,2
0,4,?,2
0,7,596,3
0,7,?,3
0,7,?,3
0,?,?,3
0,7,?,3
0,?,?,3
0,7,?,3
0,?,?,0
0,7,?,3
0,?,?,3
0,7,?,3
0,?,?,3
0,7,?,3
0,9,950,1
0,9,?,1
0,5,1550,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,5,?,1
0,8,1408,4
0,8,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,2
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,?,?,4
0,8,?,4
0,0,953,4
0,0,?,4
0,0,?,4
