i,u,c,r,y,d,t,table,class
20216,?,?,?,?,?,?,2,0
20216,?,?,?,?,1,?,5,0
175336,?,?,?,?,?,?,2,0
175336,?,?,?,4,?,?,6,0
1651222,?,?,?,?,?,?,2,1
1651222,?,?,?,?,3,?,5,1
1890361,?,?,?,?,?,?,2,1
1890361,?,?,?,1,?,?,6,1
746407,?,?,?,?,?,?,2,0
746407,?,?,?,?,6,?,5,0
1284322,?,?,?,?,?,?,2,0
1284322,?,?,?,5,?,?,6,0
381037,?,?,?,?,?,?,2,1
381037,?,?,?,7,?,?,6,1
724024,?,?,?,?,?,?,2,1
724024,?,?,?,?,7,?,5,1
1276803,?,?,?,?,?,?,2,1
1276803,?,?,?,?,8,?,5,1
1474266,?,?,?,?,?,?,2,1
1474266,?,?,?,0,?,?,6,1
1426870,?,?,?,?,?,?,2,1
1426870,?,?,?,0,?,?,6,1
869136,?,?,?,?,?,?,2,1
869136,?,?,?,8,?,?,6,1
1201641,?,?,?,?,?,?,2,0
1201641,?,?,?,?,8,?,5,0
?,?,?,8,?,?,?,4,0
?,3688179,?,8,?,?,?,1,0
105317,?,?,?,?,?,?,2,1
105317,?,?,?,3,?,?,6,1
1052929,?,?,?,?,?,?,2,0
1052929,?,?,?,3,?,?,6,0
136334,?,?,?,?,?,?,2,1
136334,?,?,?,0,?,?,6,1
169069,?,?,?,?,?,?,2,1
169069,?,?,?,7,?,?,6,1
1161951,?,?,?,?,?,?,2,1
1161951,?,?,?,7,?,?,6,1
1680454,?,?,?,?,?,?,2,1
1680454,?,?,?,?,5,?,5,1
1916080,?,?,?,?,?,?,2,1
1916080,?,?,?,1,?,?,6,1
20157,?,?,?,?,?,?,2,1
20157,?,?,?,4,?,?,6,1
1019213,?,?,?,?,?,?,2,1
1019213,?,?,?,9,?,?,6,1
667831,?,?,?,?,?,?,2,1
667831,?,?,?,2,?,?,6,1
705939,?,?,?,?,?,?,2,1
705939,?,?,?,?,6,?,5,1
988616,?,?,?,?,?,?,2,1
988616,?,?,?,3,?,?,6,1
1242807,?,?,?,?,?,?,2,0
1242807,?,?,?,6,?,?,6,0
1234805,?,?,?,?,?,?,2,0
1234805,?,?,?,?,5,?,5,0
853872,?,?,?,?,?,?,2,0
853872,?,?,?,0,?,?,6,0
529452,?,?,?,?,?,?,2,0
529452,?,?,?,6,?,?,6,0
1190038,?,?,?,?,?,?,2,1
1190038,?,?,?,?,2,?,5,1
1754727,?,?,?,?,?,?,2,1
1754727,?,?,?,2,?,?,6,1
41994,?,?,?,?,?,?,2,0
41994,?,?,?,1,?,?,6,0
616416,?,?,?,?,?,?,2,0
616416,?,?,?,3,?,?,6,0
1910384,?,?,?,?,?,?,2,0
1910384,?,?,?,?,1,?,5,0
1558228,?,?,?,?,?,?,2,0
1558228,?,?,?,0,?,?,6,0
1728541,?,?,?,?,?,?,2,0
1728541,?,?,?,1,?,?,6,0
1851268,?,?,?,?,?,?,2,0
1851268,?,?,?,?,7,?,5,0
1367013,?,?,?,?,?,?,2,1
1367013,?,?,?,?,3,?,5,1
868035,?,?,?,?,?,?,2,1
868035,?,?,?,?,9,?,5,1
802957,?,?,?,?,?,?,2,0
802957,?,?,?,6,?,?,6,0
1272088,?,?,?,?,?,?,2,1
1272088,?,?,?,?,8,?,5,1
1188212,?,?,?,?,?,?,2,1
1188212,?,?,?,4,?,?,6,1
1034039,?,?,?,?,?,?,2,1
1034039,?,?,?,?,2,?,5,1
1328405,?,?,?,?,?,?,2,1
1328405,?,?,?,0,?,?,6,1
